id,answer
0,1
1,2
2,0
3,1
4,0
5,1
6,3
7,0
8,0
9,0
10,3
11,3
12,3
13,2
14,2
15,2
16,0
17,2
18,2
19,1
20,1
21,3
22,1
23,1
24,0
25,1
26,3
27,3
28,1
29,2
30,3
31,3
32,2
33,3
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,3
42,1
43,2
44,1
45,2
46,3
47,3
48,3
49,3
50,3
51,2
52,1
53,2
54,3
55,0
56,0
57,2
58,0
59,2
60,0
61,0
62,2
63,0
64,0
65,2
66,2
67,2
68,2
69,2
70,2
71,3
72,0
73,2
74,1
75,0
76,0
77,2
78,2
79,0
80,3
81,1
82,3
83,3
84,1
85,0
86,1
87,3
88,2
89,0
90,1
91,0
92,2
93,1
94,0
95,3
96,1
97,0
98,2
99,3
100,1
101,1
102,0
103,2
104,0
105,2
106,2
107,1
108,1
109,0
110,0
111,1
112,1
113,2
114,0
115,3
116,0
117,0
118,0
119,2
120,2
121,0
122,1
123,0
124,2
125,0
126,3
127,3
128,3
129,3
130,3
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,0
139,3
140,0
141,1
142,3
143,2
144,1
145,1
146,1
147,3
148,0
149,3
150,1
151,0
152,0
153,2
154,0
155,2
156,0
157,2
158,1
159,0
160,1
161,3
162,0
163,1
164,2
165,2
166,2
167,3
168,0
169,3
170,1
171,0
172,0
173,3
174,2
175,0
176,1
177,1
178,0
179,3
180,2
181,1
182,1
183,3
184,2
185,3
186,2
187,2
188,2
189,0
190,1
191,2
192,0
193,2
194,0
195,2
196,2
197,2
198,1
199,1
200,0
201,1
202,3
203,2
204,2
205,3
206,1
207,2
208,2
209,1
210,2
211,3
212,3
213,2
214,3
215,3
216,2
217,2
218,0
219,2
220,1
221,0
222,1
223,2
224,1
225,2
226,0
227,2
228,0
229,1
230,2
231,2
232,3
233,2
234,1
235,3
236,1
237,3
238,3
239,2
240,1
241,2
242,1
243,3
244,3
245,1
246,0
247,2
248,3
249,0
250,2
251,1
252,3
253,0
254,1
255,1
256,2
257,1
258,1
259,1
260,1
261,1
262,0
263,2
264,1
265,0
266,0
267,1
268,1
269,2
270,2
271,0
272,0
273,1
274,3
275,0
276,2
277,1
278,3
279,1
280,3
281,1
282,1
283,1
284,2
285,2
286,2
287,0
288,0
289,0
290,2
291,3
292,1
293,1
294,3
295,1
296,2
297,0
298,2
299,1
